id,loan_amount,loan_days,age,monthly_income,dti,score_raw,rating,recommendation,fraud_score,fraud_risk,binary_decision,ml_probability,target,cluster
269,1000,16,49.5,17800,0.4438202247191011,444,B,Conditionally approve,0,Clean,1,0.7545214240367168,1,0
270,1000,7,34.7,12000,0.425,430,C,Conditionally approve,0,Clean,1,0.7210008422779647,1,0
271,1500,30,21.2,6000,0.3333333333333333,364,D,Reject,1,Low,0,0.5196937293694801,0,0
272,1500,15,20.5,9000,0.4444444444444444,387,C,Requires manual review,0,Clean,1,0.6760403928597525,0,0
273,1000,16,22.7,8000,0.375,399,C,Requires manual review,0,Clean,1,0.7553588830816357,1,0
274,2500,17,55.7,16000,0.53125,413,C,Requires manual review,0,Clean,1,0.7545551820781483,1,0
275,5000,30,36.2,15000,0.6666666666666666,385,C,Requires manual review,1,Low,1,0.754533523883697,1,0
276,1500,30,28.5,6500,0.8461538461538461,368,D,Reject,0,Clean,1,0.7210707887657112,0,0
277,1000,30,59.0,30000,0.16666666666666666,399,C,Requires manual review,3,Medium,1,0.7545768823792602,1,0
278,500,30,29.3,10000,0.4,444,B,Conditionally approve,0,Clean,1,0.6918494098639364,1,0
279,800,10,24.5,12000,0.4166666666666667,400,C,Requires manual review,0,Clean,1,0.7545465524329332,1,0
280,3500,26,28.6,12000,0.2916666666666667,429,C,Requires manual review,0,Clean,1,0.6635929529035631,0,0
281,1000,15,26.8,8000,0.625,410,C,Requires manual review,0,Clean,1,0.786017883278405,1,0
282,1000,30,21.6,8000,0.5,372,C,Requires manual review,0,Clean,1,0.7544841005496306,1,0
283,1500,30,25.5,20000,0.285,386,C,Requires manual review,3,Medium,0,0.5,0,0
284,1000,27,24.4,7500,0.6,357,D,Reject,0,Clean,1,0.7495448264721832,0,0
285,5000,18,38.0,160000,0.0475,392,C,Requires manual review,6,Critical,1,0.6963541700720263,1,0
286,650,26,31.7,12000,0.30833333333333335,397,C,Requires manual review,0,Clean,1,0.7405904892396873,1,0
287,3500,30,30.1,17000,0.8823529411764706,383,C,Requires manual review,0,Clean,1,0.7545164684096264,1,0
288,800,3,28.2,12000,1.0,397,C,Requires manual review,0,Clean,1,0.7684412637866312,1,0
289,1000,30,22.6,8000,0.59375,371,C,Requires manual review,0,Clean,1,0.754520868574818,1,0
290,2500,21,34.4,12000,0.375,433,B,Conditionally approve,0,Clean,1,0.7210026391876878,0,0
291,700,4,24.1,7000,0.5714285714285714,359,D,Reject,0,Clean,1,0.7503167609332826,1,0
292,2500,25,29.1,6000,0.75,384,C,Requires manual review,0,Clean,1,0.7545704204324899,1,0
293,500,7,28.2,5300,0.7547169811320755,370,D,Requires manual review,0,Clean,1,0.7663709579006632,1,0
294,700,25,37.1,11500,0.391304347826087,418,C,Requires manual review,0,Clean,1,0.7304270937723341,0,0
