id,source_id,source_name,title,body,category,sentiment,published,day,hour,week_day
22,ukrinform,Ukrinform,"У НБУ розповіли, як змінилися касові обороти банків у І кварталі","За перший квартал 2026 року в Україні зросли касові обороти банків: надходження готівки - на 5,2% порівняно з січнем - березнем торік, видача - на 6,3%.",Culture,neutral,2026-05-03T11:32:12+00:00,2026-05-03,11,Sunday
21,ukrinform,Ukrinform,На Київщині сталася масова бійка: поліція встановлює обставини,"Правоохоронці встановлюють обставини бійки між підлітками та чоловіками, яка сталася у Святопетрівському Київської області увечері у суботу, 2 травня.",War/Security,neutral,2026-05-03T11:33:00+00:00,2026-05-03,11,Sunday
20,ukrinform,Ukrinform,МЗС Франції: Росія зробила свободу інформування своєю мішенню,"Франція у Всесвітній день свободи преси, який відзначають 3 травня, вшанувала пам’ять французького фотожурналіста Антоні Лаллікана, який загинув в Україні внаслідок удару російського дрона, та заявила, що Росія зробила свободу інформування своєю мішенню.",Technology,neutral,2026-05-03T11:38:00+00:00,2026-05-03,11,Sunday
1,dw,Deutsche Welle,How Serbia's government dominates the country's media,"Since Serbia's ruling SNS party came to power in 2012, it has tightened its grip on the media. With an election expected soon, experts fear authorities will try to eliminate the last pockets of independent reporting.",Culture,negative,2026-05-03T11:52:00+00:00,2026-05-03,11,Sunday
19,ukrinform,Ukrinform,У Кривому Розі через влучання «Шахеда» в будинок постраждали п’ятеро людей,Російський влучив в під’їзд багатоповерхівки у Кривому Розі. П’ятеро людей доставлені до лікарні.,Economy,neutral,2026-05-03T11:58:00+00:00,2026-05-03,11,Sunday
18,ukrinform,Ukrinform,УПЛ. «Оболонь» не втримала перемогу над «Кудрівкою» у 26-му турі,У чемпіонаті України з футболу серед команд Премʼєр-ліги (УПЛ) пройшов черговий поєдинкок 26-го туру національної першості.,Sports,neutral,2026-05-03T12:03:00+00:00,2026-05-03,12,Sunday
17,ukrinform,Ukrinform,У Нікопольському районі через російські удари постраждали п’ятеро людей,"На Нікопольщині внаслідок російських ударів постраждали п’ятеро людей, на місцях працюють правоохоронці.",Society,neutral,2026-05-03T12:04:00+00:00,2026-05-03,12,Sunday
16,ukrinform,Ukrinform,Укрзалізниця випустила в рейс перший дитячий вагон у складі поїзда Харків - Івано-Франківськ,"У суботу, 2 травня, у перший рейс вирушив дитячий вагон у складі поїзда №001/002 «Єдність», який з’єднує схід України із заходом.",War/Security,neutral,2026-05-03T12:26:00+00:00,2026-05-03,12,Sunday
0,euronews,Euronews,Massive crowds fill Rio's Copacabana beach for free Shakira concert,"Latin pop queen Shakira kicks off her free mega-concert on Rio's famed Copacabana beach under a full moon, with drones forming the image of a she-wolf -- her nickname -- overhead as she takes the stage over an hour late.",Culture,positive,2026-05-03T12:34:07+00:00,2026-05-03,12,Sunday
15,ukrinform,Ukrinform,"Українці Ігнатенко та Кухаревич зі ""Слованом"" виграли чемпіонат Словаччини з футболу","Українські футболісти Данило Ігнатенко та Микола Кухаревич зі ""Слованом"" достроково стали чемпіонами Словаччини сезону-2025/26.",Sports,neutral,2026-05-03T12:38:38+00:00,2026-05-03,12,Sunday
